"pm10","pm2.5"
22,4.4
19,4.5
11,2.9
9,2.9
26,6.2
22,5.9
22,7.5
20,10.1
19,11.8
16,8.7
18,7.7
15,4.9
18,4.9
16,4.7
15,6.8
9,5.2
15,6
21,7.7
27,8
24,9.1
20,10.2
23,12.8
25,9.9
19,7.5
11,5.6
24,3.4
33,8.7
31,8
43,8.4
27,8.4
32,8.6
11,8.5
14,6.7
14,5.7
21,4.8
22,5.6
22,5.7
7,4.6
4,2.3
5,0.5
4,1
3,3.1
9,3.1
7,1.2
4,1.9
6,3.1
13,2.3
29,3.2
9,4.6
10,3.8
7,3.3
5,4.7
5,3
3,0.3
0,1.3
0.548642678472848,1.8
0.359489055812647,0.5
0,2.4
0,2.5
2,2.2
3,3.3
3,2
2,2.2
2,3.1
1,2.2
1,3.1
5,4.1
5,2.7
4,0.3
7,2.1
12.8717306514786,7.62778415381397
19,11.2795121680186
20.0569922408765,25.5
24,4
12,1.1
53,0.2
7,2.6
5,3.3
5,2.7
5,1.7
8,0.5
6,1.7
2,1.5
3,1.26398663910847
8,0
4,2.4
1,3.6
7,2.7
7,3.6
4,4.8
11,3.2
7,5.8
8,5.1
11,5.8
10,4.8
12,0.6
7,2.05784398580908
8,1
8,3.4
10,3
12,2.7
8,4.4
6,4.1
11,3.2
14,5.8
9,3.9
8,1.3
8,1.2
9,4.5
11,5.5
12,4.6
18,6.2
17,4.6
20,8.4
41,12
41,10.4
20,6.6
14,3.7
9,2
9,0.6
9,2.4
11,1.3
19,3
32,5.2
19,6
22,8.6
23,8.4
20,7.6
26,7
17,5.6
18,5.1
20,6.7
22,8
15,8.7
11,7.3
10,5.9
15,6.3
11,9.4
16,6.9
12,5.1
7,2.6
13,1.8
8,2.5
7,3
7,3.8
10,3.5
7,3.3
9,4.5
16,9.2
13,6.1
10,2.9
7,3.6
10,4.1
7,2.7
7,2.5
8,4
5,3.8
2,2.7
5,0.6
11,0.8
8,6
7,4.6
8,2.7
16,3.6
7,4.8
7,3.1
5,2.2
3,2.3
7,1.9
12,2.6
23,4.9
21,5
17,10.2
12,7.2
8,3.8
7,4.7
4,4.3
2,2
5,2.4
10,2.7
7,3.1
6,3.6
8,3.4
7,2.7
7,3.1
7,4.5
8,5.8
9,5.3
13,5.1
17,6.6
18,5.1
31,4.4
42,6.5
61,5.7
94,12.2
65,8.6
38,4.5
32,6.3
92,6.7
46,7.2
28,8.4
28,10.1
34,7.5
20,2.6
17,1.2
13,3.3
14,5.1
10,4.1
7,5.8
24,7.5
34,7.3
14,8.5
11,5.6
12,3.9
8,1.6
11,2.44911133016574
10,2.22031630064582
15,0.5
26,4.5
21,4.1
20,1.4
19,4.3
23,5.6
12,3.2
16,6.7
16,6
24,3.2
22,5.2
23,6.7
21,10
34,8
30,7.2
55,8.2
43,13.4
28,8.1
21,5.9
31,6.8
14,4.8
16,4.6
8,2.7
10,3.05242690043134
11,2.74302062017541
10,2.43361433991947
9,2
9,1.5
19,0.9
25,3.7
35,6.6
19,9.7
11,6.3
10,2.8
9,3.2
8,4
4,4
15,3.8
14,2.6
7,1.9
12,2.8
11,4.9
21,8.7
13,7
38,8.1
43,9.5
35,11.4
129,15.5
90,9.2
88,9.5
91,9.6
87,8.9
67,8.5
55,7.3
47,8.7
91,10.6
63,12.1
42,10.2
38,16.3
38,16.7
29,13.6
28,13.6
24,9.3
21,6.6
35,10.8
25,9.7
16,7.6
15,7.1
12,6
13,4.5
14,5.4
12,5.35988510285847
16,5.36322036553293
14,5.36655562820738
15,5.36989089088184
19,5.37322615355629
17,5.37656141623075
21,5.37989667890521
21,5.38323194157966
23,5.38656720425412
23,5.38990246692857
28,5.39323772960303
31,5.39657299227748
27,5.39990825495194
25,5.40324351762639
23,5.40657878030085
32,5.4099140429753
33,5.41324930564976
33,5.41658456832422
34,5.41991983099867
24,5.42325509367313
19,5.42659035634758
11,5.42992561902204
11,5.43326088169649
11,5.43659614437095
9,5.4399314070454
12,5.44326666971986
12,5.44660193239431
10,5.44993719506877
7,5.45327245774323
7,5.45660772041768
