"","co1","so2","ozone","temp","rh"
"433",0.181,0.9,0.0198092540378241,57,31
"434",0.167,0.5,0.0166846295327391,55,37
"435",0.169,0.3,0.0132624694031723,53,41
"436",0.174,0.3,0.00958424769276069,51,44
"437",0.214,0.2,0.00569143844514139,49,48
"438",0.255,0.4,0.00162551570395148,47,52
"439",0.318,0.6,-0.00257204648717194,44,61
"440",0.348,0.8,-0.00685977408459179,43,62
"441",0.356,0.9,-0.011196193044671,45,56
"442",0.346,1.2,-0.0155398293237724,48,51
"443",0.359,0.9,-0.019849208878259,54,41
"444",0.222,0.9,-0.0240828576644937,60,32
"445",0.178,0.7,-0.0281993016388394,62,30
"446",0.192,0.7,-0.0321570667576589,65,29
"447",0.198,0.7,-0.0359146789773153,68,27
"448",0.198,0.9,-0.0394306642541714,70,25
"449",0.203,1.2,-0.0426635485445901,70,26
"450",0.246,0.6,-0.0455718578049344,68,30
"451",0.459,0.6,-0.0481141179915671,65,34
"452",0.515,0.6,-0.0502488550608512,64,39
"453",0.601,0.9,-0.0519345949691495,61,44
"454",0.679,1,-0.0531298636728251,59,51
"455",0.774,1.2,-0.0537931871282407,57,56
"456",0.882,1.6,-0.0538830912917594,54,62
"457",0.873,1.6,-0.0533581021197439,52,66
"458",0.787,1.3,-0.0521767455685573,52,70
"459",0.66,0.9,-0.0502975475945624,51,74
"460",0.742,1.3,-0.0476790341541221,49,77
"461",0.644,0.8,-0.0442797312035995,49,78
"462",0.551,0.6,-0.0400581646993573,48,79
"463",0.949,2.2,-0.0349728605977585,47,81
"464",0.932,2.6,-0.0289823448551661,47,83
"465",0.555,1,-0.0220451434279427,49,82
"466",0.498,0.8,-0.0141197822724515,51,77
"467",0.523,1.1,-0.00516478734505551,55,71
"468",0.41,1.1,0.0048613153978827,59,64
"469",0.463,1.2,0.016,63,58
"470",0.331,1,0.031,65,52
"471",0.281,0.8,0.046,67,48
"472",0.259,0.7,0.053,69,44
"473",0.281,0.8,0.042,69,43
"474",0.254,1,0.0420240083733867,69,42
"475",0.313,0.9,0.0423501126128603,66,44
"476",0.311,1.2,0.042,64,44
"477",0.288,0.8,0.038,61,40
"478",0.266,0.7,0.032,57,35
"479",0.235,0.7,0.03,55,37
"480",0.213,0.6,0.031,54,41
"481",0.193,0.5,0.032,53,45
"482",0.17,0.5,0.033,52,45
"483",0.161,0.4,0.034,51,47
"484",0.155,0.3,0.033,51,47
"485",0.159,0.2,0.032,50,47
"486",0.189,0.2,0.029,49,51
"487",0.258,0.2,0.02,48,54
"488",0.433,0.3,0.002,44,66
"489",0.524,0.6,0.004,46,63
"490",0.265,0.7,0.026,51,49
"491",0.203,0.7,0.032,54,43
"492",0.185,0.7,0.034,57,38
"493",0.171,1.2,0.037,59,34
"494",0.165,0.6,0.04,61,31
"495",0.17175,0.4,0.042,61,32
"496",0.1785,0.4,0.04,61,33
"497",0.18525,0.4,0.039,61,36
"498",0.192,0.3,0.035,58,50
"499",0.32,0.1,0.025,55,67
"500",0.199,0.1,0.029,52,77
"501",0.164,0,0.03,51,80
"502",0.181,0,0.028,50,86
"503",0.17,0,0.028,50,86
"504",0.144,0,0.033,49,88
"505",0.1,0,0.034,48,89
"506",0.082,0,0.035,48,88
"507",0.078,0,0.036,47,87
"508",0.083,0,0.037,47,87
"509",0.086,0,0.035,46,87
"510",0.093,0,0.034,46,88
"511",0.11,0,0.034,45,86
"512",0.117,0,0.034,43,85
"513",0.131,0,0.031,40,87
"514",0.112,0,0.032,40,86
"515",0.126,0,0.031,41,83
"516",0.139,0.1,0.031,42,80
"517",0.129,0,0.032,43,78
"518",0.135,0,0.033,43,78
"519",0.164,0,0.032,43,84
"520",0.181,0,0.03,43,86
"521",0.164,0,0.028,43,84
"522",0.17,0,0.027,42,84
"523",0.144,0,0.028,42,82
"524",0.147,0,0.027,42,84
"525",0.129,0,0.028,42,81
"526",0.124,0,0.028,42,80
"527",0.115,0,0.028,42,82
"528",0.118,0,0.027,42,80
"529",0.115,0,0.026,42,79
"530",0.128,0,0.023,42,79
"531",0.121,0,0.021,42,80
"532",0.119,0,0.021,42,77
"533",0.112,0,0.019,42,78
"534",0.123,0,0.017,42,78
"535",0.155,0,0.015,42,77
"536",0.202,0,0.011,43,76
"537",0.21,0,0.01,43,77
"538",0.183,0.1,0.015,44,71
"539",0.161,0.2,0.017,46,65
"540",0.146,0.3,0.021,48,57
"541",0.129,0.2,0.027,49,50
"542",0.114,0.1,0.031,49,42
"543",0.113,0.1,0.033,50,39
"544",0.121,0.1,0.034,51,35
"545",0.124,0.2,0.031,50,39
"546",0.153,0.2,0.027,49,47
"547",0.214,0.2,0.017,49,51
"548",0.242,0.2,0.014,48,47
"549",0.336,0.3,0.003,47,49
"550",0.425,0.4,0.001,44,55
"551",0.506,0.7,0,43,59
"552",0.5,0.6,0.006,41,71
"553",0.373,0.3,0.001,41,75
"554",0.299,0.1,0.001,40,76
"555",0.311,0.2,0,38,79
"556",0.263,0.2,0.001,38,81
"557",0.256,0.1,0.001,37,84
"558",0.25,0.1,0.001,37,84
"559",0.275,0.2,0.001,36,84
"560",0.302,0.3,0,36,82
"561",0.353,0.4,0.003,37,74
"562",0.245,0.3,0.011,40,63
"563",0.146,0.3,0.017,45,54
"564",0.136,0.2,0.019,48,48
"565",0.132,0.2,0.022,52,43
"566",0.119,0.2,0.025,56,38
"567",0.116,0.2,0.029,58,34
"568",0.121,0.2,0.03,59,34
"569",0.132,0.2,0.031,60,33
"570",0.153,0.1,0.028,59,36
"571",0.347,0.2,0.006,56,46
"572",0.414,0.1,0.001,54,52
"573",0.319,0,0.007,51,57
"574",0.296,0,0.006,50,62
"575",0.302,0,0.004,49,63
"576",0.238,0,0.008,49,62
"577",0.207,0,0.009,47,66
"578",0.203,0,0.008,46,68
"579",0.188,0,0.01,46,69
"580",0.168,0,0.011,46,70
"581",0.172,0,0.009,44,74
"582",0.221,0,0.005,43,76
"583",0.251,0.1,0.001,43,76
"584",0.283,0,0.002,44,73
"585",0.231,0.1,0.01,47,63
"586",0.092,0.1,0.022,52,53
"587",0.078,0,0.027,57,43
"588",0.072,0,0.033,61,32
"589",0.102,0,0.039,63,23
"590",0.132,0,0.041,64,21
"591",0.128,0,0.041,63,23
"592",0.131,0,0.041,63,22
"593",0.129,0,0.042,63,22
"594",0.141,0,0.04,62,24
"595",0.152,0,0.037,60,26
"596",0.179,0,0.031,58,28
"597",0.209,0,0.025,55,31
"598",0.28,0,0.013,54,33
"599",0.272,0,0.013,52,36
"600",0.311,0.1,0.011,50,40
"601",0.308,0.1,0.006,48,45
"602",0.393,0.3,0,45,53
"603",0.421,0.5,0,44,56
"604",0.447,0.7,0,42,60
"605",0.455,0.9,0,42,62
"606",0.576,1.3,0,41,65
"607",0.658,1.9,0,41,66
"608",0.616,1.6,0,41,67
"609",0.62,1.8,0.001,43,64
"610",0.655,1.7,0.002,47,53
"611",0.444,0.9,0.008,53,43
"612",0.343,0.3,0.016,57,35
"613",0.2705,0.1,0.023,61,32
"614",0.198,0.1,0.03,66,29
"615",0.205,0,0.036,69,26
"616",0.215,0,0.035,71,26
"617",0.22,0.1,0.029,72,26
"618",0.281,0.1,0.02,72,28
"619",0.439,0.3,0.002,69,32
"620",0.648,0.9,0,66,35
"621",0.676,0.8,0,64,38
"622",0.357,0.3,0.006,60,44
"623",0.318,0.1,0.005,59,47
"624",0.308,0.1,0.002,57,50
"625",0.307,0,0.003,55,54
"626",0.307,0,0.001,54,55
"627",0.296,0,0.002,53,56
"628",0.341,0.3,0,52,59
"629",0.397,0.5,0,51,61
"630",0.456,0.7,0,51,62
"631",0.778,1.9,0,49,66
"632",1.031,3.1,0,49,68
"633",0.772,1.8,0.001,52,58
"634",0.677,2.5,0.003,55,51
"635",0.451,1.3,0.006,60,45
"636",0.437,0.9,0.01,64,38
"637",0.412,0.8,0.014,69,32
"638",0.326,0.6,0.019,73,28
"639",0.235,0.3,0.028,76,24
"640",0.181,0.1,0.033,78,21
"641",0.24,0.2,0.028,78,22
"642",0.364,0.3,0.0189195599419732,77,24
"643",0.86,1,0.00876125469103992,73,28
"644",0.84,1.7,0,71,30
"645",0.655,1,0,69,33
"646",0.547,0.9,0,67,36
"647",0.52,0.7,0,65,40
"648",0.466,0.7,0,64,41
"649",0.512,0.6,0,61,46
"650",0.721,1.3,0,58,54
"651",0.742,1.3,0,55,60
"652",0.656,1.5,0,54,63
"653",0.586,1.5,0,52,66
"654",0.616,1.7,0,53,65
"655",0.744,2.2,0,54,63
"656",0.767,2.2,0,51,70
"657",0.56,1.3,0.002,54,63
"658",0.53,1.4,0.004,60,52
"659",0.401,1.3,0.0120186731949202,67,42
"660",0.264,1.1,0.022,73,31
"661",0.196,1.1,0.032,77,28
"662",0.171,1.9,0.045,80,25
"663",0.165,1.8,0.055,80,23
"664",0.183,0.9,0.052,80,22
"665",0.217,0.6,0.052,80,25
"666",0.221,0.6,0.051,78,28
"667",0.21,0.6,0.046,75,31
"668",0.184,0.8,0.047,74,31
"669",0.168,0.5,0.047,73,31
"670",0.159,0.7,0.048,72,30
"671",0.167,0.8,0.048,72,30
"672",0.177,0.6,0.037,70,33
"673",0.166,0.3,0.038,68,35
"674",0.158,0.2,0.034,65,41
"675",0.187,0.2,0.028,63,45
"676",0.178,0.3,0.025,62,47
"677",0.191,0.3,0.021,61,50
"678",0.216,0.2,0.012,59,54
"679",0.372,0.4,0.001,57,59
"680",0.477,0.6,0.002,56,58
"681",0.38,0.5,0.007,57,54
"682",0.265,0.3,0.016,62,41
"683",0.166,0.1,0.024,63,34
"684",0.149,0.1,0.029,66,32
"685",0.14,0.1,0.032,66,32
"686",0.13,0.1,0.034,67,31
"687",0.135,0.1,0.033,67,30
"688",0.154,0,0.031,66,31
"689",0.152,0.1,0.029,64,33
"690",0.186,0.3,0.029,62,33
"691",0.183,0.3,0.027,59,34
"692",0.167,0.3,0.028,57,37
"693",0.159,0.1,0.029,55,40
"694",0.154,0,0.028,54,42
"695",0.159,0,0.029,52,43
"696",0.156,0,0.03,51,44
"697",0.14,0,0.03,51,45
"698",0.132,0,0.03,50,46
"699",0.132,0,0.03,49,48
"700",0.132,0,0.029,48,50
"701",0.148,0,0.027,47,52
"702",0.169,0,0.023,46,54
"703",0.213,0.1,0.018,45,56
